Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Characteristics[infect]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[single cell ID]
day49_15123_cell38	ERS985721	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell38	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_38_	sequencing assay	ERX1225348	15123_38_1.fastq.gz	15123_38_1.fastq.gz	ERR1146546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146546/ERR1146546_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 131
day49_15123_cell38	ERS985721	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell38	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_38_	sequencing assay	ERX1225348	15123_38_2.fastq.gz	15123_38_2.fastq.gz	ERR1146546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146546/ERR1146546_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 131
day49_15123_cell39	ERS985722	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell39	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_39_	sequencing assay	ERX1225349	15123_39_1.fastq.gz	15123_39_1.fastq.gz	ERR1146547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146547/ERR1146547_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 132
day49_15123_cell39	ERS985722	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell39	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_39_	sequencing assay	ERX1225349	15123_39_2.fastq.gz	15123_39_2.fastq.gz	ERR1146547	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146547/ERR1146547_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 132
day49_15123_cell40	ERS985723	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell40	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_40_	sequencing assay	ERX1225350	15123_40_1.fastq.gz	15123_40_1.fastq.gz	ERR1146548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146548/ERR1146548_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 133
day49_15123_cell40	ERS985723	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell40	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_40_	sequencing assay	ERX1225350	15123_40_2.fastq.gz	15123_40_2.fastq.gz	ERR1146548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146548/ERR1146548_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 133
day49_15123_cell41	ERS985724	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell41	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_41_	sequencing assay	ERX1225351	15123_41_1.fastq.gz	15123_41_1.fastq.gz	ERR1146549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146549/ERR1146549_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 134
day49_15123_cell41	ERS985724	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell41	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_41_	sequencing assay	ERX1225351	15123_41_2.fastq.gz	15123_41_2.fastq.gz	ERR1146549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146549/ERR1146549_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 134
day49_15123_cell42	ERS985725	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell42	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_42_	sequencing assay	ERX1225352	15123_42_1.fastq.gz	15123_42_1.fastq.gz	ERR1146550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146550/ERR1146550_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 135
day49_15123_cell42	ERS985725	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell42	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_42_	sequencing assay	ERX1225352	15123_42_2.fastq.gz	15123_42_2.fastq.gz	ERR1146550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146550/ERR1146550_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 135
day49_15123_cell43	ERS985726	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell43	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_43_	sequencing assay	ERX1225353	15123_43_1.fastq.gz	15123_43_1.fastq.gz	ERR1146551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146551/ERR1146551_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 136
day49_15123_cell43	ERS985726	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell43	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_43_	sequencing assay	ERX1225353	15123_43_2.fastq.gz	15123_43_2.fastq.gz	ERR1146551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146551/ERR1146551_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 136
day49_15123_cell49	ERS985727	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell49	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_49_	sequencing assay	ERX1225354	15123_49_1.fastq.gz	15123_49_1.fastq.gz	ERR1146552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146552/ERR1146552_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 137
day49_15123_cell49	ERS985727	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell49	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_49_	sequencing assay	ERX1225354	15123_49_2.fastq.gz	15123_49_2.fastq.gz	ERR1146552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146552/ERR1146552_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 137
day49_15123_cell50	ERS985728	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell50	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_50_	sequencing assay	ERX1225355	15123_50_1.fastq.gz	15123_50_1.fastq.gz	ERR1146553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146553/ERR1146553_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 138
day49_15123_cell50	ERS985728	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell50	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_50_	sequencing assay	ERX1225355	15123_50_2.fastq.gz	15123_50_2.fastq.gz	ERR1146553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146553/ERR1146553_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 138
day49_15123_cell51	ERS985729	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell51	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_51_	sequencing assay	ERX1225356	15123_51_1.fastq.gz	15123_51_1.fastq.gz	ERR1146554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146554/ERR1146554_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 139
day49_15123_cell51	ERS985729	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell51	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_51_	sequencing assay	ERX1225356	15123_51_2.fastq.gz	15123_51_2.fastq.gz	ERR1146554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146554/ERR1146554_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 139
day49_15123_cell52	ERS985730	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell52	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_52_	sequencing assay	ERX1225357	15123_52_1.fastq.gz	15123_52_1.fastq.gz	ERR1146555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146555/ERR1146555_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 140
day49_15123_cell52	ERS985730	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell52	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_52_	sequencing assay	ERX1225357	15123_52_2.fastq.gz	15123_52_2.fastq.gz	ERR1146555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146555/ERR1146555_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 140
day49_15123_cell53	ERS985731	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell53	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_53_	sequencing assay	ERX1225358	15123_53_1.fastq.gz	15123_53_1.fastq.gz	ERR1146556	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146556/ERR1146556_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 141
day49_15123_cell53	ERS985731	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell53	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_53_	sequencing assay	ERX1225358	15123_53_2.fastq.gz	15123_53_2.fastq.gz	ERR1146556	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146556/ERR1146556_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 141
day49_15123_cell54	ERS985732	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell54	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_54_	sequencing assay	ERX1225359	15123_54_1.fastq.gz	15123_54_1.fastq.gz	ERR1146557	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146557/ERR1146557_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 142
day49_15123_cell54	ERS985732	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell54	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_54_	sequencing assay	ERX1225359	15123_54_2.fastq.gz	15123_54_2.fastq.gz	ERR1146557	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146557/ERR1146557_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 142
day49_15123_cell55	ERS985733	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell55	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_55_	sequencing assay	ERX1225360	15123_55_1.fastq.gz	15123_55_1.fastq.gz	ERR1146558	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146558/ERR1146558_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 143
day49_15123_cell55	ERS985733	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell55	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_55_	sequencing assay	ERX1225360	15123_55_2.fastq.gz	15123_55_2.fastq.gz	ERR1146558	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146558/ERR1146558_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 143
day49_15123_cell61	ERS985734	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell61	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_61_	sequencing assay	ERX1225361	15123_61_1.fastq.gz	15123_61_1.fastq.gz	ERR1146559	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146559/ERR1146559_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 144
day49_15123_cell61	ERS985734	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell61	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_61_	sequencing assay	ERX1225361	15123_61_2.fastq.gz	15123_61_2.fastq.gz	ERR1146559	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146559/ERR1146559_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 144
day49_15123_cell62	ERS985735	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell62	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_62_	sequencing assay	ERX1225362	15123_62_1.fastq.gz	15123_62_1.fastq.gz	ERR1146560	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146560/ERR1146560_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 145
day49_15123_cell62	ERS985735	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell62	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_62_	sequencing assay	ERX1225362	15123_62_2.fastq.gz	15123_62_2.fastq.gz	ERR1146560	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146560/ERR1146560_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 145
day49_15123_cell63	ERS985736	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	Salmonella typhimurium	49	day	cell	P-MTAB-46291	P-MTAB-46292	day49_15123_cell63	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	15123_63_	sequencing assay	ERX1225363	15123_63_1.fastq.gz	15123_63_1.fastq.gz	ERR1146561	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146561/ERR1146561_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	Salmonella typhimurium	49	day	cell 146
